Topic	No	ID	Sentence	Type	LinkAudio
About me 	-	-Video	AboutMe.mp4	Video	https://luandai123.github.io/English_Daily/AboutMe.mp4
About me 	-	-Audio	AboutMe.mp3	Audio	https://luandai123.github.io/English_Daily/AboutMe.mp3
About me 	-	-Word	AboutMe.docx	Word	https://luandai123.github.io/English_Daily/AboutMe.doc
About me 	-	-Excel	AboutMe.xlsx	Excel	https://luandai123.github.io/English_Daily/AboutMe.xlsx
About me 	-	-Pdf	AboutMe.pdf	Pdf	https://luandai123.github.io/English_Daily/AboutMe.pdf
About me 	1	1Struc	IT’S + ADJ + TO DO SOMETHING /Rất… khi làm gì đó/	Struc	
About me 	1.1	1.1Viet	Thật tốt khi gặp bạn.	Viet	
About me 	1.1	1.1Eng	It’s good to see you.	Eng	https://luandai123.github.io/English_Daily/1.1.1-Eng.mp3
About me 	1.1	1.1Phon	ɪts gʊd tu: si: ju:	Phon	
About me 	1.2	1.2Viet	Thật tuyệt khi gặp bạn.	Viet	
About me 	1.2	1.2Eng	It’s great to see you.	Eng	https://luandai123.github.io/English_Daily/1.1.2-Eng.mp3
About me 	1.2	1.2Phon	ɪts greɪt tu: si: ju:	Phon	
About me 	1.3	1.3Viet	Thật tốt khi biết bạn.	Viet	
About me 	1.3	1.3Eng	It’s nice to know you.	Eng	https://luandai123.github.io/English_Daily/1.1.3-Eng.mp3
About me 	1.3	1.3Phon	ɪts naɪs tu: noʊ ju:	Phon	
About me 	1.4	1.4Viet	Thật tốt khi gặp lại bạn.	Viet	
About me 	1.4	1.4Eng	It’s good to meet you again.	Eng	https://luandai123.github.io/English_Daily/1.1.4-Eng.mp3
About me 	1.4	1.4Phon	ɪts gʊd tu: mi:t ju: əˈgɛn	Phon	
About me 	1.5	1.5Viet	Thật tuyệt khi được nói chuyện với bạn.	Viet	
About me 	1.5	1.5Eng	It’s great to talk to you.	Eng	https://luandai123.github.io/English_Daily/1.1.5-Eng.mp3
About me 	1.5	1.5Phon	ɪts greɪt tu: taːk tu: ju:	Phon	
About me 	1.6	1.6Viet	Rất hân hạnh khi gặp bạn.	Viet	
About me 	1.6	1.6Eng	It’s a pleasure to meet you.	Eng	https://luandai123.github.io/English_Daily/1.1.6-Eng.mp3
About me 	1.6	1.6Phon	ɪts ə ˈplɛʒər tu: mi:t ju:	Phon	
About me 	2	2Struc	PLEASE ALLOW ME TO INTRODUCE + SOMEONE, SOMEONE’S NAME IS…/Cho phép tôi giới thiệu…/	Struc	
About me 	2.1	2.1Viet	Cho phép tôi giới thiệu bản thân mình, tên của tôi là Minh.	Viet	
About me 	2.1	2.1Eng	Please allow me to introduce myself, my name is Minh.	Eng	https://luandai123.github.io/English_Daily/1.2.1-Eng.mp3
